種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,9444,トーシンＨＤ,東Ｓ,298,S,+80,+36.70%,－,1.81,－,2026-08-04 15:34
本日のストップ高銘柄,2,↓1,1,4381,ビープラッツ,東Ｇ,443,S,+80,+22.04%,31.7,－,－,2026-08-04 15:34
本日のストップ高銘柄,3,NEW,,3276,ＪＰＭＣ,東Ｐ,"2,222",S,+400,+21.95%,18.8,3.99,－,2026-08-04 15:34
本日のストップ高銘柄,4,NEW,,7480,スズデン,東Ｓ,"2,901",S,+500,+20.82%,13.2,2.22,6.07,2026-08-04 15:34
本日のストップ高銘柄,5,↓2,3,2737,トーメンデバ,東Ｐ,"31,150",S,"+5,000",+19.12%,7.1,3.00,5.26,2026-08-04 15:34
本日のストップ高銘柄,6,↑1,7,4073,ジィ・シィ,東Ｇ,629,S,+100,+18.90%,29.6,8.63,－,2026-08-04 15:34
本日のストップ高銘柄,7,NEW,,6440,ＪＵＫＩ,東Ｐ,640,S,+100,+18.52%,12.6,0.57,2.34,2026-08-04 15:34
本日のストップ高銘柄,8,NEW,,9257,ＹＣＰ,東Ｇ,542,S,+80,+17.32%,－,－,－,2026-08-04 15:34
本日のストップ高銘柄,9,NEW,,7609,ダイトロン,東Ｐ,"4,150",,+570,+15.92%,13.9,2.22,2.89,2026-08-04 15:34
本日のストップ高銘柄,10,NEW,,4746,東計電算,東Ｓ,"5,630",S,+705,+14.31%,11.8,1.75,8.46,2026-08-04 15:34
本日のストップ安銘柄,1,→,1,3856,Ａバランス,東Ｓ,330,S,-80,-19.51%,－,0.17,0.91,2026-08-04 15:34
本日のストップ安銘柄,2,NEW,,4052,フィーチャ,東Ｇ,342,S,-80,-18.96%,143,2.89,－,2026-08-04 15:34
